gvkey,conm,tic,cusip,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
002159,BENEFICIAL CORP,BNL.1,081721102,C,00X,LU,19377,20293,19500101,19620130
002176,BERKSHIRE HATHAWAY,BRK.B,084670702,P,01,LC,17778,540,19761014,20100131
002176,BERKSHIRE HATHAWAY,BRK.B,084670702,P,02,LC,83443,540,20100201,E
002176,BERKSHIRE HATHAWAY,BRK.B,084670702,J,01,LC,17778,540,20100201,E
002176,BERKSHIRE HATHAWAY,BRK.B,084670702,J,02,LC,83443,540,19960509,20100131
002184,BEST BUY CO INC,BBY,086516101,P,01,LU,85914,7506,19850531,E
002189,BETHLEHEM STEEL CORP,3BHMSQ,087509105,P,01,LU,10786,20299,19620131,20020611
002189,BETHLEHEM STEEL CORP,3BHMSQ,087509105,C,00X,LU,10786,20299,19500101,19620130
002193,BEVERLY ENTERPRISES INC,BEV,087851309,P,01,LC,85640,20300,19971216,20060314
002193,BEVERLY ENTERPRISES INC,BEV,087851309,P,01,LC,47992,20300,19690313,19971203
002226,BIOGEN INC-OLD,BGEN,090597105,P,01,LU,11983,5872,19830322,20031128
002230,BIOMET INC,5938B,09099P941,P,01,LU,18092,5737,19821217,20070928
002255,BLACK & DECKER CORP,BDK,091797100,P,01,LC,20220,20306,19620131,20100312
002269,BLOCK H & R INC,HRB,093671105,P,01,LU,49373,20309,19691013,E
002270,ENSCO PLC,ESV,G3157S106,P,01,LC,93159,53296,20091223,E
002270,ENSCO PLC,ESV,G3157S106,P,01,LC,62519,559,19800228,20091222
002272,BLUE BELL INC,BBL.1,095293106,P,01,LU,44273,24746,19670406,19841130
002281,BOATMENS BANCSHARES INC,BOAT.,096650106,C,00X,LC,18551,594,19780101,19780130
002281,BOATMENS BANCSHARES INC,BOAT.,096650106,P,01,LU,18551,594,19780131,19970131
002283,BOBBIE BROOKS INC,BBKS,096779202,P,02,LU,27836,5297,19620131,19960628
