gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip
177267,000003,20111017,,S&P 500 Comp-Ltd,I0003,TE CONNECTIVITY LTD,TEL,H84989104
189491,000003,20111101,,S&P 500 Comp-Ltd,I0003,XYLEM INC,XYL,98419M100
003497,000003,20111123,20121202,S&P 500 Comp-Ltd,I0003,COOPER INDUSTRIES PLC,CBE,G24140108
001837,000003,20111213,20160630,S&P 500 Comp-Ltd,I0003,SOUTHERN CO GAS,SO7,001204106
024782,000003,20111219,,S&P 500 Comp-Ltd,I0003,PERRIGO CO PLC,PRGO,G97822103
028742,000003,20111219,,S&P 500 Comp-Ltd,I0003,BORGWARNER INC,BWA,099724106
031587,000003,20111219,,S&P 500 Comp-Ltd,I0003,DOLLAR TREE INC,DLTR,256746108
199356,000003,20111221,,S&P 500 Comp-Ltd,I0003,TRIPADVISOR INC,TRIP,896945201
187128,000003,20120103,20140323,S&P 500 Comp-Ltd,I0003,WPX ENERGY INC,WPX,98212B103
113490,000003,20120314,,S&P 500 Comp-Ltd,I0003,CROWN CASTLE INTL CORP,CCI,22822V101
028118,000003,20120404,20160104,S&P 500 Comp-Ltd,I0003,FOSSIL GROUP INC,FOSL,34988V106
170841,000003,20120501,,S&P 500 Comp-Ltd,I0003,PHILLIPS 66,PSX,718546104
006310,000003,20120525,,S&P 500 Comp-Ltd,I0003,KINDER MORGAN INC,KMI,49456B101
062263,000003,20120525,,S&P 500 Comp-Ltd,I0003,ALEXION PHARMACEUTICALS INC,ALXN,015351109
006565,000003,20120605,,S&P 500 Comp-Ltd,I0003,LAM RESEARCH CORP,LRCX,512807108
024316,000003,20120629,,S&P 500 Comp-Ltd,I0003,MONSTER BEVERAGE CORP,MNST,61174X109
150937,000003,20120702,,S&P 500 Comp-Ltd,I0003,SEAGATE TECHNOLOGY PLC,STX,G7945M107
002270,000003,20120731,20160329,S&P 500 Comp-Ltd,I0003,ENSCO PLC,ESV,G3157S106
294524,000003,20120905,,S&P 500 Comp-Ltd,I0003,LYONDELLBASELL INDUSTRIES NV,LYB,N53745100
008463,000003,20121001,,S&P 500 Comp-Ltd,I0003,PENTAIR PLC,PNR,G7S00T104
014438,000003,20121001,20160502,S&P 500 Comp-Ltd,I0003,ADT CORP,ADT,00101J106
012978,000003,20121002,20150702,S&P 500 Comp-Ltd,I0003,KRAFT FOODS GROUP INC,KRFT,50076Q106
028648,000003,20121005,20150311,S&P 500 Comp-Ltd,I0003,PETSMART INC,PETM,716768106
004016,000003,20121203,,S&P 500 Comp-Ltd,I0003,DOLLAR GENERAL CORP,DG,256677105
141459,000003,20121212,,S&P 500 Comp-Ltd,I0003,GARMIN LTD,GRMN,H2906T109
118122,000003,20121224,,S&P 500 Comp-Ltd,I0003,DELPHI AUTOMOTIVE PLC,DLPH,G27823106
016101,000003,20130102,,S&P 500 Comp-Ltd,I0003,ABBVIE INC,ABBV,00287Y109
008551,000003,20130214,,S&P 500 Comp-Ltd,I0003,PVH CORP,PVH,693656100
023812,000003,20130501,,S&P 500 Comp-Ltd,I0003,REGENERON PHARMACEUTICALS,REGN,75886F107
029868,000003,20130509,,S&P 500 Comp-Ltd,I0003,MACERICH CO,MAC,554382101
006335,000003,20130524,,S&P 500 Comp-Ltd,I0003,KANSAS CITY SOUTHERN,KSU,485170302
005073,000003,20130607,,S&P 500 Comp-Ltd,I0003,GENERAL MOTORS CO,GM,37045V100
013721,000003,20130624,,S&P 500 Comp-Ltd,I0003,ZOETIS INC,ZTS,98978V103
018043,000003,20130701,,S&P 500 Comp-Ltd,I0003,NEWS CORP,NWSA,65249B109
100873,000003,20130709,,S&P 500 Comp-Ltd,I0003,NIELSEN HOLDINGS PLC,NLSN,G6518L108
003851,000003,20130911,,S&P 500 Comp-Ltd,I0003,DELTA AIR LINES INC,DAL,247361702
001598,000003,20130923,,S&P 500 Comp-Ltd,I0003,AMETEK INC,AME,031100100
024344,000003,20130923,,S&P 500 Comp-Ltd,I0003,VERTEX PHARMACEUTICALS INC,VRTX,92532F100
028338,000003,20131029,20170725,S&P 500 Comp-Ltd,I0003,TRANSOCEAN LTD,RIG,H8817H100
198058,000003,20131113,,S&P 500 Comp-Ltd,I0003,MICHAEL KORS HOLDINGS LTD,KORS,G60754101
316056,000003,20131202,,S&P 500 Comp-Ltd,I0003,ALLEGION PLC,ALLE,G0176J109
028119,000003,20131210,,S&P 500 Comp-Ltd,I0003,GGP INC,GGP,36174X101
025119,000003,20131223,,S&P 500 Comp-Ltd,I0003,MOHAWK INDUSTRIES INC,MHK,608190104
143974,000003,20131223,,S&P 500 Comp-Ltd,I0003,ALLIANCE DATA SYSTEMS CORP,ADS,018581108
170617,000003,20131223,,S&P 500 Comp-Ltd,I0003,FACEBOOK INC,FB,30303M102
029736,000003,20140124,,S&P 500 Comp-Ltd,I0003,TRACTOR SUPPLY CO,TSCO,892356106
028877,000003,20140324,20160306,S&P 500 Comp-Ltd,I0003,KEURIG GREEN MOUNTAIN INC,GMCR,49271M100
030293,000003,20140402,,S&P 500 Comp-Ltd,I0003,ESSEX PROPERTY TRUST,ESS,297178105
160329,000003,20140403,,S&P 500 Comp-Ltd,I0003,ALPHABET INC,GOOGL,02079K107
