Date,ShortVolume,ShortExemptVolume,TotalVolume
2017-10-11,1092528.0,14867.0,2047134.0
2017-10-10,1639423.0,2587.0,3148314.0
2017-10-09,461472.0,5497.0,922075.0
2017-10-06,1669244.0,12325.0,3335545.0
2017-10-05,2858405.0,4198.0,5152988.0
2017-10-04,697495.0,14095.0,1182749.0
2017-10-03,541483.0,1133.0,997085.0
2017-10-02,315698.0,947.0,651511.0
2017-09-29,70460.0,0.0,170998.0
2017-09-28,225339.0,1280.0,392849.0
2017-09-27,51209.0,221.0,81371.0
2017-09-26,103620.0,3526.0,192049.0
2017-09-25,96323.0,2651.0,145446.0
2017-09-22,87961.0,6621.0,117351.0
2017-09-21,83402.0,7452.0,202252.0
2017-09-20,77525.0,1619.0,140883.0
2017-09-19,135511.0,16516.0,272559.0
2017-09-18,68245.0,10.0,118425.0
2017-09-15,25750.0,65.0,101056.0
2017-09-14,71073.0,0.0,160714.0
2017-09-13,217671.0,1190.0,462129.0
2017-09-12,92645.0,2100.0,319399.0
2017-09-11,149750.0,0.0,278926.0
2017-09-08,62862.0,3489.0,128192.0
2017-09-07,195420.0,2918.0,275079.0
2017-09-06,177783.0,21837.0,235925.0
2017-09-05,125987.0,3324.0,308465.0
2017-09-01,186536.0,13138.0,380591.0
2017-08-31,660910.0,36354.0,1170894.0
2017-08-30,248578.0,10324.0,527001.0
2017-08-29,101200.0,1531.0,191619.0
2017-08-28,101977.0,399.0,192346.0
2017-08-25,80443.0,10770.0,233473.0
2017-08-24,57270.0,1945.0,124338.0
2017-08-23,18919.0,434.0,37244.0
2017-08-22,14139.0,836.0,51155.0
2017-08-21,93159.0,6855.0,137080.0
2017-08-18,160011.0,3898.0,286757.0
2017-08-17,159084.0,15456.0,313761.0
2017-08-16,162521.0,13074.0,298746.0
2017-08-15,19636.0,768.0,57410.0
2017-08-14,44297.0,460.0,96251.0
2017-08-11,51053.0,1103.0,110213.0
2017-08-10,24306.0,236.0,66213.0
2017-08-09,20147.0,216.0,73108.0
2017-08-08,42283.0,143.0,115863.0
2017-08-07,61555.0,6225.0,132676.0
2017-08-04,41548.0,3422.0,126562.0
2017-08-03,37585.0,5966.0,137955.0
2017-08-02,79307.0,18415.0,113463.0
2017-08-01,10009.0,1987.0,40043.0
2017-07-31,13033.0,427.0,20485.0
2017-07-28,37028.0,1039.0,101822.0
2017-07-27,46413.0,5509.0,84722.0
2017-07-26,27214.0,5584.0,67134.0
2017-07-25,50774.0,3980.0,80064.0
2017-07-24,55150.0,12607.0,95006.0
2017-07-21,52240.0,5860.0,112810.0
2017-07-20,69625.0,1102.0,100143.0
2017-07-19,83612.0,1351.0,124547.0
2017-07-18,91431.0,310.0,221638.0
2017-07-17,62243.0,500.0,117134.0
2017-07-14,85060.0,4108.0,181425.0
2017-07-13,74074.0,3800.0,213578.0
2017-07-12,32993.0,1363.0,73462.0
2017-07-11,14818.0,2287.0,53902.0
2017-07-10,16067.0,0.0,33763.0
2017-07-07,23864.0,0.0,63064.0
2017-07-06,19900.0,60.0,156144.0
2017-07-05,73538.0,1620.0,105075.0
2017-07-03,80121.0,0.0,181160.0
2017-06-30,24125.0,8721.0,37067.0
2017-06-29,89112.0,5075.0,148649.0
2017-06-28,61221.0,0.0,94165.0
2017-06-27,60823.0,978.0,97472.0
2017-06-26,50652.0,500.0,77959.0
2017-06-23,102931.0,12046.0,188177.0
2017-06-22,25514.0,150.0,53940.0
2017-06-21,57729.0,655.0,151433.0
2017-06-20,45756.0,900.0,69290.0
2017-06-19,43102.0,2763.0,69733.0
2017-06-16,24151.0,1902.0,176877.0
2017-06-15,33948.0,7497.0,86758.0
2017-06-14,70056.0,12753.0,217652.0
2017-06-13,64048.0,6436.0,95159.0
2017-06-12,109055.0,27352.0,144743.0
2017-06-09,54102.0,2850.0,83414.0
2017-06-08,48204.0,0.0,129563.0
2017-06-07,89594.0,136.0,183439.0
2017-06-06,33536.0,301.0,67303.0
2017-06-05,117972.0,2297.0,167786.0
2017-06-02,141834.0,9673.0,266428.0
2017-06-01,216255.0,9472.0,303564.0
2017-05-31,106161.0,5326.0,227214.0
2017-05-30,285149.0,1574.0,492402.0
2017-05-26,125768.0,4903.0,312327.0
2017-05-25,236045.0,1400.0,498831.0
2017-05-24,88137.0,48.0,127751.0
2017-05-23,88619.0,6817.0,215740.0
2017-05-22,313216.0,18546.0,624884.0
2017-05-19,175249.0,1115.0,226903.0
2017-05-18,150209.0,3955.0,239367.0
2017-05-17,138811.0,1452.0,230142.0
2017-05-16,400393.0,38222.0,621490.0
2017-05-15,133655.0,6797.0,209385.0
2017-05-12,198996.0,13277.0,347992.0
2017-05-11,381432.0,17445.0,745171.0
2017-05-10,1024349.0,22893.0,1645635.0
2017-05-09,434941.0,19287.0,615542.0
2017-05-08,439645.0,10102.0,852855.0
2017-05-05,26568.0,0.0,118224.0
2017-05-04,35025.0,334.0,48793.0
2017-05-03,63712.0,433.0,100003.0
2017-05-02,30031.0,300.0,72471.0
2017-05-01,11804.0,0.0,32261.0
2017-04-28,14319.0,0.0,52140.0
2017-04-27,35687.0,0.0,48201.0
2017-04-26,60411.0,405.0,85663.0
2017-04-25,13638.0,0.0,40061.0
2017-04-24,31136.0,2870.0,71155.0
2017-04-21,123928.0,7100.0,381174.0
2017-04-20,44306.0,1000.0,64505.0
2017-04-19,139456.0,7110.0,192032.0
2017-04-18,20152.0,1738.0,41752.0
2017-04-17,31704.0,157.0,48735.0
2017-04-13,14786.0,4980.0,25712.0
2017-04-12,45488.0,0.0,63186.0
2017-04-11,48304.0,0.0,133688.0
2017-04-10,85430.0,2800.0,138339.0
2017-04-07,149540.0,4470.0,271741.0
2017-04-06,26455.0,899.0,71387.0
2017-04-05,56954.0,400.0,72534.0
2017-04-04,23324.0,705.0,28985.0
2017-04-03,88403.0,5188.0,168045.0
2017-03-31,138460.0,5.0,197767.0
2017-03-30,41965.0,1900.0,74396.0
2017-03-29,48839.0,5505.0,71260.0
2017-03-28,55633.0,9476.0,92914.0
2017-03-27,14856.0,2967.0,38637.0
2017-03-24,23416.0,9500.0,63884.0
2017-03-23,3945.0,360.0,16191.0
2017-03-22,20825.0,0.0,41879.0
2017-03-21,35157.0,0.0,56441.0
2017-03-20,16965.0,0.0,43800.0
2017-03-17,89347.0,12220.0,170074.0
2017-03-16,12795.0,0.0,21150.0
2017-03-15,7132.0,0.0,13916.0
2017-03-14,27254.0,0.0,40835.0
2017-03-13,10442.0,0.0,16295.0
2017-03-10,3515.0,0.0,22915.0
2017-03-09,9479.0,0.0,12251.0
2017-03-08,21103.0,0.0,46171.0
2017-03-07,76514.0,1103.0,245863.0
2017-03-06,277922.0,2934.0,327913.0
2017-03-03,192188.0,4100.0,215118.0
2017-03-02,110033.0,336.0,198188.0
2017-03-01,16622.0,0.0,31092.0
2017-02-28,7801.0,0.0,17719.0
2017-02-27,48892.0,1071.0,82313.0
2017-02-24,31222.0,0.0,48994.0
2017-02-23,66775.0,600.0,119272.0
2017-02-22,16976.0,0.0,118516.0
2017-02-17,18126.0,0.0,67220.0
2017-02-16,49502.0,0.0,67316.0
2017-02-15,9749.0,0.0,93373.0
2017-02-14,93208.0,3087.0,132164.0
2017-02-13,93801.0,3900.0,142820.0
2017-02-10,27331.0,0.0,68052.0
2017-02-09,108969.0,0.0,200828.0
2017-02-08,158805.0,12975.0,279986.0
2017-02-07,100886.0,900.0,374268.0
2017-02-06,83770.0,2075.0,215366.0
