Date,Price,Open,High,Low,Vol.,Change %
2015-11-16,57.88,60.94,61.21,54.67,-,-3.50%
2015-11-13,59.98,59.96,61.19,57.27,-,3.88%
2015-11-12,57.74,57.72,59.22,55.75,-,2.65%
2015-11-11,56.25,54.3,56.65,53.7,-,3.59%
2015-11-10,54.3,57.18,57.61,53.91,-,-4.38%
2015-11-09,56.79,56.38,58.32,56.07,-,1.39%
2015-11-06,56.01,57.3,58.91,55.13,-,-2.22%
2015-11-05,57.28,58.11,59.95,55.96,-,-0.42%
2015-11-04,57.52,55.63,58.63,54.57,-,3.40%
2015-11-03,55.63,56.86,58.28,54.91,-,-1.07%
2015-11-02,56.23,58.58,59.21,55.57,-,-4.01%
2015-10-30,58.58,58.93,60.5,56.71,-,0.15%
2015-10-29,58.49,58.77,59.84,56.76,-,1.72%
2015-10-28,57.5,59.25,61.44,52.96,-,-2.95%
2015-10-27,59.25,60.53,61.54,58.17,-,1.39%
2015-10-26,58.44,59.93,59.93,57.44,-,-2.49%
2015-10-23,59.93,57.17,59.93,54.88,-,0.18%
2015-10-22,59.82,61.1,61.93,57.86,-,-3.98%
2015-10-21,62.3,60.3,63.28,59.09,-,-0.05%
2015-10-20,62.33,59.76,62.38,58.89,-,4.30%
2015-10-19,59.76,61.39,62.95,58.71,-,-2.58%
2015-10-16,61.34,61.21,63.93,60.83,-,0.02%
2015-10-15,61.33,65.04,65.04,61.23,-,-5.70%
2015-10-14,65.04,63.57,66.14,62.28,-,2.22%
2015-10-13,63.63,60.06,63.64,59.61,-,5.93%
2015-10-12,60.07,60.68,61.93,59.88,-,-1.01%
2015-10-09,60.68,58.73,61.73,57.75,-,2.29%
2015-10-08,59.32,60.96,61.13,56.28,-,-1.80%
2015-10-07,60.41,61.02,62.72,59.62,-,-1.98%
2015-10-06,61.63,61.06,62.16,59.4,-,2.24%
2015-10-05,60.28,61.39,61.82,55.7,-,-1.81%
2015-10-02,61.39,64.38,64.83,59.97,-,-1.29%
2015-10-01,62.19,65.3,65.4,61.93,-,-4.76%
2015-09-30,65.3,62.51,65.95,61.53,-,2.56%
2015-09-29,63.67,65.84,67.69,63.06,-,-4.49%
2015-09-28,66.66,65.42,68.54,65.27,-,2.85%
2015-09-25,64.81,65.17,65.87,62.42,-,-0.67%
2015-09-24,65.25,64.45,67.18,62.3,-,4.74%
2015-09-23,62.3,63.04,64.42,61.52,-,-2.18%
2015-09-22,63.69,63.64,67.55,63.32,-,0.08%
2015-09-21,63.64,63.26,66.83,62.31,-,-0.87%
2015-09-18,64.2,65.1,66.07,62.62,-,2.59%
2015-09-17,62.58,61.87,63.6,57.75,-,1.15%
2015-09-16,61.87,62.89,64.02,61.16,-,-1.62%
2015-09-15,62.89,65.22,65.99,62.48,-,-3.57%
2015-09-14,65.22,63.38,66.28,63.38,-,2.87%
2015-09-11,63.4,64.13,65.82,63.27,-,-2.15%
2015-09-10,64.79,66.11,67.41,63.86,-,0.06%
2015-09-09,64.75,60.8,66.36,59.92,-,2.11%
2015-09-08,63.41,62.6,64.51,60.43,-,-0.88%
2015-09-04,63.97,64.49,66.06,62.16,-,-0.64%
2015-09-03,64.38,61.14,65.08,58.44,-,4.73%
2015-09-02,61.47,63.33,64.46,60.3,-,-2.94%
2015-09-01,63.33,64.49,68.37,62.82,-,-1.80%
2015-08-31,64.49,62.24,64.71,60.01,-,7.47%
2015-08-28,60.01,58.33,64.29,57.82,-,5.80%
2015-08-27,56.72,54.52,60.6,53.24,-,4.04%
2015-08-26,54.52,57.39,58.8,53.26,-,-5.00%
2015-08-25,57.39,55.39,62.21,48.03,-,3.61%
2015-08-24,55.39,80.9,80.9,51.86,-,-4.40%
2015-08-21,57.94,57.64,59.79,54.7,-,0.52%
2015-08-20,57.64,56.86,58.9,55.13,-,0.14%
2015-08-19,57.56,56.43,57.9,54.41,-,2.00%
2015-08-18,56.43,54.78,56.79,54.23,-,3.01%
2015-08-17,54.78,55.45,57.46,54.4,-,-1.21%
2015-08-14,55.45,56.79,57.28,54.59,-,-2.36%
2015-08-13,56.79,55.71,57.21,54.63,-,2.07%
2015-08-12,55.64,56.28,59.34,54.41,-,-0.57%
2015-08-11,55.96,55.78,57.9,53.69,-,4.23%
2015-08-10,53.69,54.7,54.7,52.51,-,-1.85%
2015-08-07,54.7,55.13,56.5,53.86,-,-2.58%
2015-08-06,56.15,55.98,56.83,54.37,-,0.30%
2015-08-05,55.98,56.45,56.45,54.44,-,-0.97%
2015-08-04,56.53,57.93,57.93,55.55,-,-2.42%
2015-08-03,57.93,57.93,57.93,57.93,-,0.00%
2015-07-31,57.93,57.33,58.69,56.22,-,1.05%
2015-07-30,57.33,58.07,59.64,56.98,-,-1.27%
2015-07-29,58.07,59.06,59.06,55.37,-,-1.68%
2015-07-28,59.06,59.35,61.34,58.54,-,-3.76%
2015-07-27,61.37,61.49,62.29,59.6,-,3.19%
2015-07-24,59.47,60.18,60.93,57.89,-,-1.18%
2015-07-23,60.18,59.06,60.54,58.12,-,2.33%
2015-07-22,58.81,59.54,59.83,57.19,-,-0.37%
2015-07-21,59.03,58.71,60,57.45,-,0.17%
2015-07-20,58.93,58.35,59.88,57.73,-,0.99%
2015-07-17,58.35,58.87,59.33,57.75,-,-2.73%
2015-07-16,59.99,60.06,60.53,59.12,-,-0.53%
2015-07-15,60.31,59.66,61.29,58.88,-,2.12%
2015-07-14,59.06,58.62,61.81,55.39,-,0.75%
