Date,Price,Open,High,Low,Vol.,Change %
2018-10-03,"1,574.00","1,574.00","1,574.00","1,574.00",-,0.25%
2018-10-02,"1,570.00","1,570.00","1,570.00","1,570.00",-,0.96%
2018-10-01,"1,555.00","1,555.00","1,555.00","1,555.00",-,0.97%
2018-09-28,"1,540.00","1,540.00","1,540.00","1,540.00",-,1.05%
2018-09-27,"1,524.00","1,524.00","1,524.00","1,524.00",-,1.40%
2018-09-26,"1,503.00","1,503.00","1,503.00","1,503.00",-,3.66%
2018-09-25,"1,450.00","1,450.00","1,450.00","1,450.00",-,1.12%
2018-09-24,"1,434.00","1,434.00","1,434.00","1,434.00",-,1.49%
2018-09-21,"1,413.00","1,413.00","1,413.00","1,413.00",-,1.22%
2018-09-20,"1,396.00","1,396.00","1,396.00","1,396.00",-,1.68%
2018-09-19,"1,373.00","1,373.00","1,373.00","1,373.00",-,1.25%
2018-09-18,"1,356.00","1,356.00","1,356.00","1,356.00",-,-0.07%
2018-09-17,"1,357.00","1,357.00","1,357.00","1,357.00",-,-0.66%
2018-09-14,"1,366.00","1,366.00","1,366.00","1,366.00",-,-1.16%
2018-09-13,"1,382.00","1,382.00","1,382.00","1,382.00",-,-2.06%
2018-09-12,"1,411.00","1,411.00","1,411.00","1,411.00",-,-1.95%
2018-09-11,"1,439.00","1,439.00","1,439.00","1,439.00",-,-2.90%
2018-09-10,"1,482.00","1,482.00","1,482.00","1,482.00",-,-0.54%
2018-09-07,"1,490.00","1,490.00","1,490.00","1,490.00",-,0.40%
2018-09-06,"1,484.00","1,484.00","1,484.00","1,484.00",-,0.47%
2018-09-05,"1,477.00","1,477.00","1,477.00","1,477.00",-,-2.38%
2018-09-04,"1,513.00","1,513.00","1,513.00","1,513.00",-,-2.83%
2018-09-03,"1,557.00","1,557.00","1,557.00","1,557.00",-,-1.39%
2018-08-31,"1,579.00","1,579.00","1,579.00","1,579.00",-,-2.17%
2018-08-30,"1,614.00","1,614.00","1,614.00","1,614.00",-,-2.83%
2018-08-29,"1,661.00","1,661.00","1,661.00","1,661.00",-,-1.37%
2018-08-28,"1,684.00","1,684.00","1,684.00","1,684.00",-,-0.77%
2018-08-24,"1,697.00","1,697.00","1,697.00","1,697.00",-,-0.70%
2018-08-23,"1,709.00","1,709.00","1,709.00","1,709.00",-,-1.50%
2018-08-22,"1,735.00","1,735.00","1,735.00","1,735.00",-,-0.06%
2018-08-21,"1,736.00","1,736.00","1,736.00","1,736.00",-,0.52%
2018-08-20,"1,727.00","1,727.00","1,727.00","1,727.00",-,0.23%
2018-08-17,"1,723.00","1,723.00","1,723.00","1,723.00",-,0.17%
2018-08-16,"1,720.00","1,720.00","1,720.00","1,720.00",-,-0.41%
2018-08-15,"1,727.00","1,727.00","1,727.00","1,727.00",-,0.12%
2018-08-14,"1,725.00","1,725.00","1,725.00","1,725.00",-,0.94%
2018-08-13,"1,709.00","1,709.00","1,709.00","1,709.00",-,1.06%
2018-08-10,"1,691.00","1,691.00","1,691.00","1,691.00",-,-0.18%
2018-08-09,"1,694.00","1,694.00","1,694.00","1,694.00",-,-0.59%
2018-08-08,"1,704.00","1,704.00","1,704.00","1,704.00",-,-1.62%
2018-08-07,"1,732.00","1,732.00","1,732.00","1,732.00",-,-2.31%
2018-08-06,"1,773.00","1,773.00","1,773.00","1,773.00",-,0.00%
2018-08-03,"1,773.00","1,773.00","1,773.00","1,773.00",-,0.97%
2018-08-02,"1,756.00","1,756.00","1,756.00","1,756.00",-,-0.23%
2018-08-01,"1,760.00","1,760.00","1,760.00","1,760.00",-,0.74%
2018-07-31,"1,747.00","1,747.00","1,747.00","1,747.00",-,2.58%
2018-07-30,"1,703.00","1,703.00","1,703.00","1,703.00",-,1.61%
2018-07-27,"1,676.00","1,676.00","1,676.00","1,676.00",-,-1.87%
2018-07-26,"1,708.00","1,708.00","1,708.00","1,708.00",-,-3.61%
2018-07-25,"1,772.00","1,772.00","1,772.00","1,772.00",-,-0.11%
2018-07-24,"1,774.00","1,774.00","1,774.00","1,774.00",-,3.26%
2018-07-23,"1,718.00","1,718.00","1,718.00","1,718.00",-,1.72%
2018-07-20,"1,689.00","1,689.00","1,689.00","1,689.00",-,1.93%
2018-07-19,"1,657.00","1,657.00","1,657.00","1,657.00",-,-1.84%
2018-07-18,"1,688.00","1,688.00","1,688.00","1,688.00",-,-1.92%
2018-07-17,"1,721.00","1,721.00","1,721.00","1,721.00",-,1.53%
2018-07-16,"1,695.00","1,695.00","1,695.00","1,695.00",-,1.74%
2018-07-13,"1,666.00","1,666.00","1,666.00","1,666.00",-,2.08%
2018-07-12,"1,632.00","1,632.00","1,632.00","1,632.00",-,2.90%
2018-07-11,"1,586.00","1,586.00","1,586.00","1,586.00",-,1.99%
2018-07-10,"1,555.00","1,555.00","1,555.00","1,555.00",-,-3.36%
2018-07-09,"1,609.00","1,609.00","1,609.00","1,609.00",-,-0.80%
2018-07-06,"1,622.00","1,622.00","1,622.00","1,622.00",-,0.62%
2018-07-05,"1,612.00","1,612.00","1,612.00","1,612.00",-,2.87%
2018-07-04,"1,567.00","1,567.00","1,567.00","1,567.00",-,6.17%
2018-07-03,"1,476.00","1,476.00","1,476.00","1,476.00",-,3.80%
2018-07-02,"1,422.00","1,422.00","1,422.00","1,422.00",-,2.67%
2018-06-29,"1,385.00","1,385.00","1,385.00","1,385.00",-,4.21%
2018-06-28,"1,329.00","1,329.00","1,329.00","1,329.00",-,1.53%
2018-06-27,"1,309.00","1,309.00","1,309.00","1,309.00",-,-1.06%
2018-06-26,"1,323.00","1,323.00","1,323.00","1,323.00",-,-0.75%
2018-06-25,"1,333.00","1,333.00","1,333.00","1,333.00",-,-0.60%
2018-06-22,"1,341.00","1,341.00","1,341.00","1,341.00",-,-0.45%
2018-06-21,"1,347.00","1,347.00","1,347.00","1,347.00",-,-1.89%
2018-06-20,"1,373.00","1,373.00","1,373.00","1,373.00",-,-3.24%
2018-06-19,"1,419.00","1,419.00","1,419.00","1,419.00",-,-1.60%
2018-06-18,"1,442.00","1,442.00","1,442.00","1,442.00",-,-0.21%
2018-06-15,"1,445.00","1,445.00","1,445.00","1,445.00",-,0.84%
2018-06-14,"1,433.00","1,433.00","1,433.00","1,433.00",-,2.07%
2018-06-13,"1,404.00","1,404.00","1,404.00","1,404.00",-,1.01%
2018-06-12,"1,390.00","1,390.00","1,390.00","1,390.00",-,0.22%
2018-06-11,"1,387.00","1,387.00","1,387.00","1,387.00",-,-0.29%
2018-06-08,"1,391.00","1,391.00","1,391.00","1,391.00",-,-0.29%
2018-06-07,"1,395.00","1,395.00","1,395.00","1,395.00",-,4.10%
2018-06-06,"1,340.00","1,340.00","1,340.00","1,340.00",-,7.29%
2018-06-05,"1,249.00","1,249.00","1,249.00","1,249.00",-,4.69%
2018-06-04,"1,193.00","1,193.00","1,193.00","1,193.00",-,3.20%
2018-06-01,"1,156.00","1,156.00","1,156.00","1,156.00",-,6.06%
2018-05-31,"1,090.00","1,090.00","1,090.00","1,090.00",-,4.61%
2018-05-30,"1,042.00","1,042.00","1,042.00","1,042.00",-,-1.42%
2018-05-29,"1,057.00","1,057.00","1,057.00","1,057.00",-,-1.86%
2018-05-25,"1,077.00","1,077.00","1,077.00","1,077.00",-,-2.89%
2018-05-24,"1,109.00","1,109.00","1,109.00","1,109.00",-,-4.56%
2018-05-23,"1,162.00","1,162.00","1,162.00","1,162.00",-,-3.09%
2018-05-22,"1,199.00","1,199.00","1,199.00","1,199.00",-,-3.23%
2018-05-21,"1,239.00","1,239.00","1,239.00","1,239.00",-,-2.67%
2018-05-18,"1,273.00","1,273.00","1,273.00","1,273.00",-,-2.45%
2018-05-17,"1,305.00","1,305.00","1,305.00","1,305.00",-,-6.99%
2018-05-16,"1,403.00","1,403.00","1,403.00","1,403.00",-,-4.43%
2018-05-15,"1,468.00","1,468.00","1,468.00","1,468.00",-,-0.54%
2018-05-14,"1,476.00","1,476.00","1,476.00","1,476.00",-,0.27%
2018-05-11,"1,472.00","1,472.00","1,472.00","1,472.00",-,1.31%
2018-05-10,"1,453.00","1,453.00","1,453.00","1,453.00",-,-0.82%
2018-05-09,"1,465.00","1,465.00","1,465.00","1,465.00",-,2.30%
2018-05-08,"1,432.00","1,432.00","1,432.00","1,432.00",-,3.47%
2018-05-04,"1,384.00","1,384.00","1,384.00","1,384.00",-,0.58%
2018-05-03,"1,376.00","1,376.00","1,376.00","1,376.00",-,2.23%
2018-05-02,"1,346.00","1,346.00","1,346.00","1,346.00",-,1.43%
2018-05-01,"1,327.00","1,327.00","1,327.00","1,327.00",-,-1.04%
2018-04-30,"1,341.00","1,341.00","1,341.00","1,341.00",-,-1.47%
2018-04-27,"1,361.00","1,361.00","1,361.00","1,361.00",-,-1.02%
2018-04-26,"1,375.00","1,375.00","1,375.00","1,375.00",-,-0.07%
2018-04-25,"1,376.00","1,376.00","1,376.00","1,376.00",-,3.46%
2018-04-24,"1,330.00","1,330.00","1,330.00","1,330.00",-,1.84%
2018-04-23,"1,306.00","1,306.00","1,306.00","1,306.00",-,1.95%
2018-04-20,"1,281.00","1,281.00","1,281.00","1,281.00",-,6.66%
2018-04-19,"1,201.00","1,201.00","1,201.00","1,201.00",-,6.85%
2018-04-18,"1,124.00","1,124.00","1,124.00","1,124.00",-,6.84%
2018-04-17,"1,052.00","1,052.00","1,052.00","1,052.00",-,2.63%
2018-04-16,"1,025.00","1,025.00","1,025.00","1,025.00",-,1.08%
2018-04-13,"1,014.00","1,014.00","1,014.00","1,014.00",-,2.11%
2018-04-12,993,993,993,993,-,1.43%
2018-04-11,979,979,979,979,-,0.51%
2018-04-10,974,974,974,974,-,2.31%
2018-04-09,952,952,952,952,-,0.42%
2018-04-06,948,948,948,948,-,-0.52%
2018-04-05,953,953,953,953,-,-2.46%
2018-04-04,977,977,977,977,-,-3.84%
2018-04-03,"1,016.00","1,016.00","1,016.00","1,016.00",-,-3.70%
2018-03-29,"1,055.00","1,055.00","1,055.00","1,055.00",-,-2.31%
2018-03-28,"1,080.00","1,080.00","1,080.00","1,080.00",-,-3.31%
2018-03-27,"1,117.00","1,117.00","1,117.00","1,117.00",-,-0.80%
2018-03-26,"1,126.00","1,126.00","1,126.00","1,126.00",-,0.36%
2018-03-23,"1,122.00","1,122.00","1,122.00","1,122.00",-,0.45%
2018-03-22,"1,117.00","1,117.00","1,117.00","1,117.00",-,0.00%
